Date,AAPL,AMZN,JPM,MGM,TSLA,VOO,VZ
2012-12-03,18.220282,250.330002,32.511246,9.612634,6.924,110.223518,30.864548
2012-12-04,17.898886,252.490005,32.320049,9.376334,6.78,110.019325,30.563593
2012-12-05,16.746973,253.960007,32.821934,9.423594,6.742,110.257576,30.864548
2012-12-06,17.009615,253.369995,33.037037,10.368791,6.78,110.597931,31.109516
2012-12-07,16.57477,253.270004,33.905365,10.330983,6.834,110.938309,31.081516
2012-12-10,16.468155,247.770004,33.706211,10.312078,6.914,111.006363,30.815567
2012-12-11,16.827778,250.690002,33.969097,10.330983,7.056,111.721107,31.102505
2012-12-12,16.753496,251.759995,34.072666,10.699608,7.052,111.806206,31.347469
2012-12-13,16.464113,251.25,34.080635,10.803579,6.722,111.125488,31.158497
2012-12-14,15.84557,249.190002,34.104538,10.756318,6.762,110.768089,30.941528
2012-12-17,16.126562,253.860001,34.638298,10.794127,6.88,112.09549,30.87855
2012-12-18,16.594978,260.399994,34.94899,10.99262,6.918,113.235687,30.703579
2012-12-19,16.359056,257.98999,34.678116,10.907552,6.922,112.401848,30.360638
2012-12-20,16.216698,261.5,35.474762,11.020975,6.886,113.099541,30.661589
2012-12-21,16.142099,256.920013,35.052551,11.162754,6.8,112.044441,30.49362
2012-12-24,16.168207,258.619995,34.988808,11.049332,6.856,111.718773,30.472622
2012-12-26,15.945354,248.630005,35.020672,10.954811,6.718,111.187447,30.409626
2012-12-27,16.009375,248.309998,34.757786,11.068234,6.738,111.084587,30.430616
2012-12-28,15.839356,245.179993,34.44709,10.803579,6.644,109.850517,30.024694
2012-12-31,16.541204,250.869995,35.028637,11.002071,6.774,111.735916,30.283644
2013-01-02,17.065252,257.309998,35.822746,11.597545,7.072,114.495445,30.98354
2013-01-03,16.849854,258.480011,35.750553,11.777131,6.954,114.392624,30.836555
2013-01-04,16.380503,259.149994,36.384224,11.947267,6.88,114.872543,31.004522
2013-01-07,16.284145,268.459991,36.424324,11.985075,6.868,114.564034,31.27747
2013-01-08,16.327978,266.380005,36.496529,12.240276,6.736,114.221237,30.516333
2013-01-09,16.072786,266.350006,36.472469,12.183564,6.728,114.564034,30.445534
2013-01-10,16.27203,265.339996,37.017902,11.975621,6.706,115.403877,30.863279
2013-01-11,16.172253,267.940002,37.00988,12.098498,6.582,115.455315,30.65794
2013-01-14,15.595675,272.730011,36.801331,12.051238,6.652,115.352486,30.155239
2013-01-15,15.103632,271.899994,37.178326,12.429317,6.78,115.403877,29.716255
2013-01-16,15.730567,268.929993,37.555325,12.268632,6.82,115.403877,29.390562
2013-01-17,15.624578,270.480011,37.250523,12.249728,6.876,116.123779,29.829544
2013-01-18,15.541274,272.119995,37.26656,12.183564,6.904,116.449455,30.119846
2013-01-22,15.68954,270.190002,37.330723,12.344249,7.038,117.01506,30.403048
2013-01-23,15.976743,268.109985,37.082069,12.230825,7.2,117.186447,30.296852
2013-01-24,14.00269,273.459991,37.194374,12.259181,7.398,117.255035,30.155239
2013-01-25,13.672592,283.98999,37.828041,12.287537,7.396,117.906334,30.211887
2013-01-28,13.981865,276.040009,37.410942,12.268632,7.606,117.769196,30.282682
2013-01-29,14.244199,260.350006,37.795967,11.928364,7.59,118.24913,30.799549
2013-01-30,14.199443,272.76001,37.803989,11.881103,7.504,117.786339,30.877434
2013-01-31,14.157789,265.5,37.739815,12.070144,7.502,117.512108,30.877434
2013-02-01,14.099667,265.0,38.381512,12.249728,7.66,118.643349,31.550068
2013-02-04,13.748432,259.980011,38.245155,12.070144,7.548,117.340706,31.521749
2013-02-05,14.230834,266.890015,39.135502,12.259181,7.626,118.540512,31.550068
2013-02-06,14.215605,262.220001,38.991131,12.278085,7.834,118.643349,31.684599
2013-02-07,14.638289,260.230011,38.68631,12.230825,7.896,118.489075,31.479267
2013-02-08,14.849627,261.950012,39.00716,12.769586,7.848,119.140427,31.401392
2013-02-11,15.004385,257.209991,39.031223,12.334796,7.684,119.088997,31.38014
2013-02-12,14.62828,258.700012,39.416256,12.589999,7.578,119.27755,31.465103
2013-02-13,14.600456,269.470001,39.047268,12.608903,7.69,119.380371,31.521749
2013-02-14,14.587326,269.23999,39.480415,12.561643,7.654,119.551735,31.387222
2013-02-15,14.386303,265.089996,39.207699,12.174114,7.408,119.397522,31.436785
2013-02-19,14.380988,269.75,39.664902,12.041784,7.856,120.220238,31.507586
2013-02-20,14.032709,266.410004,38.991131,11.852747,7.708,118.729019,31.80496
2013-02-21,13.945484,265.940002,38.702358,11.692062,7.032,118.16346,31.946564
2013-02-22,14.093986,265.420013,39.231758,11.739324,7.222,119.191818,32.144829
2013-02-25,13.843562,259.869995,38.261192,11.521927,6.876,116.94651,32.371387
2013-02-26,14.036463,259.359985,38.180981,11.446312,6.886,117.734932,32.654606
2013-02-27,13.898902,263.25,39.528557,11.796035,7.02,119.208969,32.817448
2013-02-28,13.799795,264.269989,39.239777,11.805487,6.966,119.071846,32.944897
2013-03-01,13.458081,265.73999,39.231758,11.748777,6.93,119.380371,33.079418
2013-03-04,13.132314,273.109985,39.384159,11.493571,7.116,120.048836,33.35556
2013-03-05,13.479029,275.589996,39.696987,11.427408,7.33,121.077232,33.766212
2013-03-06,13.307701,273.790009,40.130131,11.540832,7.538,121.300041,33.475941
2013-03-07,13.461522,273.880005,40.611416,11.758226,7.646,121.522881,33.617535
2013-03-08,13.497163,274.190002,40.266502,11.692062,7.694,122.002808,33.957397
2013-03-11,13.689431,271.23999,40.491093,11.767678,7.82,122.44841,33.851189
2013-03-12,13.394305,274.130005,40.330669,11.673159,7.824,122.174225,34.240604
2013-03-13,13.391804,275.100006,40.234413,11.729871,7.796,122.345642,33.943222
2013-03-14,13.521547,265.73999,40.908199,12.523834,7.37,122.996902,34.325573
2013-03-15,13.87045,261.820007,40.12212,12.438766,7.058,122.825523,33.999878
2013-03-18,14.247494,257.890015,39.713032,12.315891,7.03,122.157036,34.51675
2013-03-19,14.209034,256.410004,39.464375,12.079594,7.016,121.865669,34.658337
2013-03-20,14.133691,257.279999,39.400204,12.240276,7.19,122.705551,34.410542
2013-03-21,14.154011,253.389999,38.782574,12.079594,7.202,121.711411,34.552139
2013-03-22,14.441015,257.75,39.127487,12.344249,7.324,122.598358,34.70792
2013-03-25,14.493219,256.019989,38.918941,12.419863,7.506,122.253868,34.807034
2013-03-26,14.416939,260.309998,39.015194,12.419863,7.572,123.166618,35.033619
2013-03-27,14.133691,265.299988,38.317333,12.249728,7.632,123.09771,34.651272
2013-03-28,13.839186,266.48999,38.068684,12.429317,7.578,123.37326,34.799965
2013-04-01,13.409314,261.609985,38.365471,12.117399,8.786,123.028831,34.849522
2013-04-02,13.436822,263.320007,38.726421,11.796035,8.868,123.631622,35.047771
2013-04-03,13.505604,259.029999,37.814362,11.550283,8.22,122.391685,34.686661
2013-04-04,13.372108,259.079987,38.330917,11.597545,8.402,122.873871,34.906166
2013-04-05,13.230798,255.479996,38.669933,11.332889,8.274,122.391685,35.090252
2013-04-08,13.324902,258.950012,39.210705,11.682612,8.366,123.149406,35.365711
2013-04-09,13.348971,261.140015,39.291412,11.947267,8.1,123.597145,35.315628
2013-04-10,13.62128,264.769989,39.751488,12.221373,8.372,125.11264,35.673367
2013-04-11,13.578758,269.850006,39.799919,12.155208,8.718,125.525925,36.138416
2013-04-12,13.437137,272.869995,39.557781,12.325344,8.75,125.250389,36.38884
2013-04-15,13.126063,267.720001,38.686077,11.597545,8.66,122.391685,36.231426
2013-04-16,13.325838,272.339996,39.138065,11.805487,9.118,124.113808,36.102642
2013-04-17,12.593017,267.399994,37.765934,11.767678,9.09,122.288338,35.444412
2013-04-18,12.256931,259.420013,37.644859,11.399054,9.394,121.289459,36.424606
2013-04-19,12.209413,260.320007,38.121071,11.559735,9.566,122.581047,37.383343
2013-04-22,12.463898,263.549988,38.217926,11.654256,10.038,123.132156,37.340393
2013-04-23,12.697124,268.899994,38.879768,12.051238,10.202,124.440987,37.433399
2013-04-24,12.676179,268.779999,39.323696,12.315891,10.086,124.47541,37.061371
2013-04-25,12.767469,274.700012,39.549717,12.788489,10.4,125.026512,38.077347
2013-04-26,13.043215,254.809998,39.45285,12.779037,10.24,124.751007,38.370689
2013-04-29,13.447141,249.740005,39.48513,12.986979,10.988,125.560371,38.249054
2013-04-30,13.842937,253.809998,39.557781,13.346155,10.798,125.956467,38.571022
2013-05-01,13.733828,248.229996,38.750641,13.043693,10.656,124.819878,37.49065
2013-05-02,13.9286,252.550003,38.807144,13.75259,10.822,125.939224,37.583664
2013-05-03,14.06804,258.049988,38.3955,13.85656,10.91,127.127502,37.690994
2013-05-06,14.403499,255.720001,38.887852,13.998341,11.9,127.523621,37.24025
2013-05-07,14.339407,257.730011,39.662704,13.90382,11.102,128.177994,37.862694
2013-05-08,14.501352,258.679993,40.163128,13.894367,11.158,128.849609,37.998642
